goodreads_book_id,tag_id,count
1,43,34
1,25,70
1,26,85
2,40,59
2,10,39
3,37,81
3,34,42
4,10,40
4,33,9
5,19,22
6,38,36
6,45,32
6,14,10
7,15,98
8,22,47
9,34,71
10,26,26
10,48,93
10,23,69
11,20,60
12,47,31
12,28,16
13,41,97
13,18,27
14,43,58
14,22,2
14,46,7
15,3,17
15,36,71
16,50,66
16,46,62
17,1,60
17,15,22
17,41,10
18,16,97
19,4,24
19,47,51
19,14,96
20,18,45
21,34,80
22,15,27
22,2,87
22,49,33
23,8,31
24,35,88
24,6,84
25,42,35
26,46,63
27,24,32
28,41,97
29,32,97
30,26,63
30,2,3
31,16,79
31,30,32
31,34,24
32,36,63
33,44,73
33,4,19
33,37,26
34,14,89
34,40,80
35,16,98
35,41,2
36,39,50
37,11,37
37,33,58
37,8,35
38,45,98
38,23,22
39,11,61
39,50,43
40,34,77
40,12,59
40,28,45
41,41,47
41,38,55
42,21,84
43,43,45
43,44,32
43,20,19
44,32,18
44,44,39
45,36,5
45,10,85
45,47,80
46,30,53
46,17,31
46,28,27
47,42,93
47,6,73
47,39,37
48,33,67
48,13,43
49,19,52
49,38,75
50,9,48
51,36,29
52,42,88
53,13,28
53,30,20
53,4,45
54,49,50
55,21,94
55,1,35
56,44,5
56,36,49
56,4,82
57,9,50
57,44,94
58,44,81
58,49,58
58,10,63
59,48,40
59,2,53
59,2,79
60,33,39
61,16,63
61,22,63
62,23,85
62,29,86
63,20,88
63,26,98
63,14,77
64,7,55
65,31,23
65,1,73
66,8,71
66,2,26
67,46,79
68,25,100
68,36,7
69,20,12
70,27,91
70,11,77
71,34,90
71,2,99
71,31,12
72,32,23
73,23,82
73,9,31
73,39,50
74,4,98
74,13,95
74,23,75
75,1,60
76,40,38
77,30,63
78,32,10
79,48,96
79,14,51
80,44,52
80,31,29
80,7,56
81,30,88
81,2,62
82,28,95
83,3,58
84,17,9
85,2,85
85,39,62
86,48,94
86,21,54
86,21,85
87,39,80
88,25,95
88,49,98
89,24,11
89,49,82
90,19,50
90,18,10
91,18,32
92,14,68
92,19,53
93,6,80
93,46,61
93,26,64
94,37,15
95,2,27
95,41,79
95,12,11
96,22,8
97,19,68
97,18,84
98,13,86
99,15,16
99,19,79
99,33,54
100,12,100
100,19,49
101,9,73
101,50,18
102,7,67
102,4,89
102,43,45
103,9,43
103,30,42
103,5,76
104,20,86
105,25,31
105,6,66
105,33,79
106,16,66
106,34,68
106,34,17
107,20,64
107,8,98
108,6,2
108,39,63
109,47,31
109,27,18
110,10,88
111,5,12
111,2,36
111,18,1
112,45,19
112,38,15
113,45,1
113,17,8
113,24,72
114,24,91
115,50,52
115,34,21
115,46,31
116,37,74
117,44,48
118,48,86
118,29,41
118,24,78
119,21,98
120,48,91
121,3,96
121,10,63
122,33,25
122,4,4
122,33,98
123,18,9
123,2,62
123,29,38
124,19,22
124,35,66
124,44,69
125,25,9
126,18,37
127,23,31
127,31,17
127,15,4
128,43,25
129,16,32
129,14,56
129,25,89
130,23,59
130,16,96
131,19,90
132,7,53
132,18,81
133,31,38
133,43,18
134,5,75
135,33,53
135,42,16
136,34,37
136,46,28
136,42,94
137,3,13
137,3,78
138,25,76
